time,treat,Root_length,Root_weight_FW
6,CK,7.24,0.36
6,CK,6.23,0.31
6,CK,9.45,0.47
6,Na,4.23,0.17
6,Na,6.23,0.25
6,Na,4.98,0.2
6,Ca,7.16,0.4
6,Ca,4.65,0.26
6,Ca,6.98,0.39
6,Na_Ca,4.12,0.18
6,Na_Ca,7.1,0.31
6,Na_Ca,4.58,0.2
12,CK,8.88,0.47
12,CK,8.51,0.45
12,CK,12.85,0.68
12,Na,7.79,0.49
12,Na,7.47,0.47
12,Na,6.2,0.39
12,Ca,10.48,0.62
12,Ca,10.99,0.65
12,Ca,7.77,0.46
12,Na_Ca,6.25,0.37
12,Na_Ca,8.96,0.53
12,Na_Ca,8.96,0.53
24,CK,11.34,0.57
24,CK,14.33,0.72
24,CK,15.12,0.76
24,Na,10.32,0.67
24,Na,9.7,0.63
24,Na,7.55,0.49
24,Ca,13.53,0.68
24,Ca,11.74,0.59
24,Ca,15.52,0.78
24,Na_Ca,9.07,0.48
24,Na_Ca,10.4,0.55
24,Na_Ca,12.66,0.67
